Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,Below 1yr,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Stopping,Driving carelessly,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
18-30,Employee,Above 10yr,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Other,Overtaking,1
18-30,Employee,Below 1yr,Other,Asphalt roads,Daylight,Unknown,Rollover,Going straight,Driving carelessly,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving under the influence of drugs,2
Over 51,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Moving Backward,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Owner,5-10yr,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the left,1
31-50,Employee,5-10yr,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,1
Over 51,Employee,5-10yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the right,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,1
Unknown,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Other,No distancing,2
18-30,Owner,Below 1yr,Y Shape,Other,Daylight,Normal,Collision with roadside objects,Turnover,Changing lane to the left,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
Unknown,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Moving Backward,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
31-50,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,Other,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Other,Asphalt roads,Daylight,Raining,Rollover,Going straight,Overspeed,1
18-30,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Driving under the influence of drugs,2
18-30,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driving carelessly,2
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
18-30,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No priority to vehicle,1
Over 51,Employee,Above 10yr,Y Shape,Other,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Waiting to go,Changing lane to the right,1
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
Over 51,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Drunk driving,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
Over 51,Owner,5-10yr,No junction,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Driving at high speed,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Waiting to go,Changing lane to the right,1
31-50,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
18-30,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
18-30,Owner,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Owner,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Getting off,Changing lane to the right,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Driving under the influence of drugs,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Getting off,Moving Backward,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Changing lane to the right,1
Under 18,Employee,5-10yr,Y Shape,Gravel roads,Daylight,Windy,Collision with pedestrians,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Owner,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No priority to vehicle,1
31-50,Employee,Above 10yr,T Shape,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Reversing,Changing lane to the right,2
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,No distancing,2
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
Under 18,Owner,Above 10yr,Other,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,No distancing,1
18-30,Owner,Above 10yr,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Turnover,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,No distancing,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
18-30,Employee,2-5yr,No junction,Other,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
31-50,Owner,5-10yr,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Owner,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Overloading,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Moving Backward,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Other,Changing lane to the right,1
Under 18,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Windy,Collision with animals,Moving Backward,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Unknown,Fall from vehicles,Going straight,Changing lane to the left,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Changing lane to the left,1
Over 51,Owner,5-10yr,O Shape,Asphalt roads,Daylight,Unknown,Collision with animals,Moving Backward,No priority to pedestrian,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Other,Changing lane to the left,2
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Collision with animals,Other,No priority to vehicle,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Moving Backward,1
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Over 51,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Overloading,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Getting off the vehicle improperly,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Raining and Windy,Vehicle with vehicle collision,Getting off,Overtaking,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overspeed,2
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Below 1yr,O Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No distancing,1
Over 51,Employee,Below 1yr,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,Driving to the left,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Unknown,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,No distancing,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,No priority to vehicle,1
31-50,Employee,1-2yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Above 10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
